検索語句レポート
2025年10月20日 - 2025年11月18日
検索語句,マッチタイプ,追加済み / 除外済み,キャンペーン,広告グループ,表示回数,インタラクション,インタラクション率,通貨コード,平均費用,費用,キャンペーン タイプ
米谷 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
〒 336 0024 埼玉 県 さいたま 市 南 区 根岸 5 丁目 5 − 15 株式 会社 黒澤 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株式 会社 さくら 住まい る 工房,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
川口 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ハウス メーカー ヤマダ ホームズ,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
司 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
三郷 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
渡辺 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
プラザ 浦和 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
lixil 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アット ホーム 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株 遠藤 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
たける 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
三鷹 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
村松 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ヒノキ ヤ グループ 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 会社 オクタ,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
格安 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
adi 株式 会社 アーキテク ト ディベロッパー さいたま 支店 川越 エリア,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 土地,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
埼玉 相互 住宅 株 越谷 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 miraizu,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
芦 葉 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
コイケ 技 建,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
建築 事務 所 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
リノベーション 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
鶴ヶ島 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
三国 ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
リフォーム 板橋,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
renovation house,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
田中 工務 店 さいたま 市,フレーズ一致,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
川越 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アイ 工務 店 展示 場 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アキュラ ホーム 北浦 和 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
荒 引 工務 店,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大宮 住宅 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
さいたま 市 解体 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,1,100.00%,JPY,110,110,検索
埼玉 屋根 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
蛯沢 工務 店,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
リフォーム 大宮,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
株式 会社 鈴木 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
オガワ ホーム 草加,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大宮 北 ハウジング ステージ,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
吉村 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
工務 店 文京 区,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
埼玉 県 外壁 塗装,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
高 栄 工務 店 富士見 市,フレーズ一致,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さい が 設計 工務,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
緑 区 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
桧 家 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
そう か 市民 ハウジング,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
住宅 展示 場 ミライズ,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,5,0,0.00%,JPY,0,0,検索
ます い リビング カンパニー,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株 佐々木 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
有限 会社 ジーエム ビルド,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 鶴ヶ島 市,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
リフォーム 戸田,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
村田 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
平野 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
総合 住宅 展示 場 熊谷 ハウジング ステージ,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大宮 北 ハウジング ステージ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リノベーション 戸建て,完全一致,なし,Search-1,Search-1 - 動的広告グループ,21,2,9.52%,JPY,54,108,検索
リフォーム 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,10,1,10.00%,JPY,15,15,検索
小林 工務 店 株式 会社,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
戸田 建設 関東 支店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
野村 不動産 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
クロス 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
埼玉 工事,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
白石 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
建設 会社 埼玉 県,完全一致（類似パターン）,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
ハナイ アーバン プランニング,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
秀栄 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
タクト ホーム 浦和 店,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
埼玉 住宅 展示 場,完全一致,追加済み,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ふじみ野 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
住宅 建設 業者,インテント マッチ,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
埼玉 県 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
吉元 工務 店 ふじみ野,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
コーポ 武蔵 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アイ 工務 店 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,3,1,33.33%,JPY,34,34,検索
大河原 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
埼玉 建設 業,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
リフォーム 創 研,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
キッチン リフォーム さいたま 市,完全一致,なし,Search-1,Search-1 - 動的広告グループ,27,0,0.00%,JPY,0,0,検索
積 和 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リノベーション と は,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
アット ホーム 久喜,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
井上 工務 店 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
明光 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
蓮田 不動産,インテント マッチ,なし,Search-1,広告グループ 1 個,1,1,100.00%,JPY,24,24,検索
浦和 住宅 公園 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 美園 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
上尾 ハウジング ステージ,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
さいたま 新 都心 住宅 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
トヨタ ウッド ユー ホーム 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
新 都心 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
ナカイ 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
一軒家,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
足立 区 の 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
川越 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
住宅 開発,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
高橋 久 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
家 購入 相談,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
大宮 展示 場 住友 林業,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
新築 戸,完全一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,1,100.00%,JPY,46,46,検索
平屋 住宅 展示 場 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 田中 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
クレバリー ホーム 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
三春 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
大宮 家,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ホーム イング,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
加須 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ビーエル ビルド,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
横浜 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,1,100.00%,JPY,334,334,検索
川越 住宅 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さとう トーヨー 住 器,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 緑 区 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
建築 会社,インテント マッチ,なし,Search-1,広告グループ 1 個,14,0,0.00%,JPY,0,0,検索
リフォーム 安心 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
越谷 市 内装 工事,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ホーム テック 株式 会社,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
蕨 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
豊田 工務 店 白岡,インテント マッチ,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
竹村 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
会 澤 工務 店 三郷,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 雨 樋 修理,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
朝霞 市 リフォーム 会社,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
ナビ ハウジング,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 住宅 展示 場 miraizu,インテント マッチ,なし,Search-1,広告グループ 1 個,8,1,12.50%,JPY,111,111,検索
内装 業者,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リノベーション 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,8,0,0.00%,JPY,0,0,検索
本間 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
埼玉 タイル 工事,完全一致,なし,Search-1,Search-1 - 動的広告グループ,4,0,0.00%,JPY,0,0,検索
クロス 張替え 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
アイ 工務 店 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
浦和 住宅 公園 アクセス,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
篠崎 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ミサワホーム 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,1,100.00%,JPY,5,5,検索
ウッド トラスト ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ウェルネス ト ホーム 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
埼玉 水 回り リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,9,0,0.00%,JPY,0,0,検索
